Price,Mileage,EngineV,Registration,Year,Brand_BMW,Brand_Mercedes-Benz,Brand_Mitsubishi,Brand_Renault,Brand_Toyota,Brand_Volkswagen,Body_hatch,Body_other,Body_sedan,Body_vagon,Body_van,Engine Type_Gas,Engine Type_Other,Engine Type_Petrol,Price_Category_Medium,Price_Category_High
-0.355874167367865,0.6827756634137441,-0.15681593115032685,1,0.08665997254943647,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
-0.2863952062227183,0.4450151347728122,-0.3361748801416584,1,0.5348577966792076,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
-0.7464363749885119,1.6813698837056577,0.0007676870373611163,1,-3.0507247963589617,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
1.144706946121989,-1.2383294080049851,-0.15681593115032685,1,1.1324548955189024,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-0.7176581070585695,0.9205361920546759,-0.19667347537062274,0,-1.8555305986795718,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
-0.5182658221153971,-0.06854760709160054,0.32147459949322416,0,-0.6603364010001821,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.019014036178507495,-1.4000065674808189,0.04247178995115271,1,1.1324548955189024,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-0.4134307032277498,-0.07805802823723781,-0.25645979170106664,1,-0.21213857687041096,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
-0.257205820179491,-0.03050592250905145,0.04247178995115271,1,0.08665997254943647,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
-0.45043133342339003,0.41648387133590037,-0.23653101959091866,1,0.08665997254943647,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
0.4334726101391267,-0.9530167736358669,0.24175951105263227,1,0.23605924725936017,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.019014036178507495,-0.6011311912472879,-0.15681593115032685,1,0.9830556208089788,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
-0.48743196361903024,0.42599429248153764,-0.25645979170106664,1,0.23605924725936017,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
-0.33326267113719593,-0.572599927810376,-0.05717207059958707,1,0.5348577966792076,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0.019014036178507495,1.0822133515305095,-0.05717207059958707,1,-0.8097356757101059,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
7.23747738500408,-1.5521733058110152,0.34140337160337203,1,1.43125344493875,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.3306930818179038,-1.0100793005096906,-0.15681593115032685,1,0.9830556208089788,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
-0.035202039005649624,-0.9435063524902296,-0.15681593115032685,1,0.6842570713891313,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
0.3306930818179038,-0.24924560885870872,0.4410472321541118,1,-0.21213857687041096,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
-0.4097306402081858,1.3009530378801668,-0.1169583869300309,1,-0.6603364010001821,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.5732527686559897,-0.7723187718687587,-0.017314526379291123,1,0.9830556208089788,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.2690253648251701,-0.0019746590721396308,0.4011896879338159,1,0.23605924725936017,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
-0.4134307032277498,-0.09707887052851236,-0.15681593115032685,1,-0.5109371262902583,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
-0.2880396786758579,0.25480671186006676,0.04247178995115271,1,-0.06273930216048725,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.15391229310540044,-0.36337066260635603,-0.1169583869300309,1,0.5348577966792076,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-0.7546587372542097,-0.48700613749964056,-0.23653101959091866,1,-3.9471204446185038,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
-0.24487227678094428,0.017046183219134915,-0.1169583869300309,1,-0.5109371262902583,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0.2484694591609255,-0.9815480370727787,-0.15681593115032685,1,0.6842570713891313,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.3265819006850549,-0.42043318948017966,0.24175951105263227,1,0.23605924725936017,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.829345638929489,-1.5521733058110152,-0.1169583869300309,1,1.43125344493875,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
-0.5326549560803683,0.34991092331643947,-0.15681593115032685,1,0.23605924725936017,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
-0.37643007303210957,0.892004928617764,-0.05717207059958707,1,-0.5109371262902583,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
-0.20787164658530405,0.32137965987952766,-0.15681593115032685,1,-0.06273930216048725,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
-0.2777617258437356,0.0075357620734976425,-0.05717207059958707,1,0.3854585219692839,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
-0.22431637111669972,0.3974630290446258,-0.017314526379291123,1,-0.21213857687041096,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.035202039005649624,0.34991092331643947,0.4011896879338159,1,-0.21213857687041096,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.5773639497888386,0.34991092331643947,0.04247178995115271,1,0.5348577966792076,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.08453621259983661,-0.17316223969361055,-0.27638856381121457,1,0.6842570713891313,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.12513402517545805,-0.5060269797909152,-0.19667347537062274,1,0.6842570713891313,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
-0.3394294428364693,0.3023588175882531,0.08232933417144865,1,0.08665997254943647,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
-0.45865369568908787,0.5971818731030086,-0.1169583869300309,1,-0.9591349504200295,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-0.06809148806844094,0.1977441849862431,-0.19667347537062274,1,0.23605924725936017,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2.098500968942937,-1.4000065674808189,0.04247178995115271,1,1.1324548955189024,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-0.688879839128627,-0.42994361062581693,-0.27638856381121457,0,-0.8097356757101059,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
-0.4134307032277498,0.8824945074721268,-0.1169583869300309,1,-0.6603364010001821,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.5198074139289539,-1.2383294080049851,-0.23653101959091866,1,0.9830556208089788,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
-0.45454251455623895,0.04557744665604673,-0.1767447032604748,1,-0.06273930216048725,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
